Acronym,SAT ID,Launch,(expected) EOL,"Satellite Programme",Orbit,Altitude,Longitude,Inclination,Ect,Sat Status,"Payload",Last update,Date
DMSP-F05,52,29416,29416,"Defense Meteorological Satellite Program - Block 5D-1",SunSync,820 km, , ,06:20 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4",2021-10-29 7:01:45,2021-10-29
DMSP-F06,53,30306,35744,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,824 km, , ,06:20 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4",2015-07-28 10:03:42,2015-07-28
DMSP-F07,54,30638,32279,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,835 km, , ,10:10 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SEM/SSM, SSM/T",2015-07-28 10:04:22,2015-07-28
DMSP-F08,55,31946,38991,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,856 km, , ,06:10 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SSM/I, SSM/T",2015-07-28 10:05:20,2015-07-28
DMSP-F09,56,32176,34547,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,832 km, , ,09:30 desc,Inactive,"OLS, SEM/SSI/ES-2, SEM/SSJ4, SSM/T",2015-07-28 10:06:13,2015-07-28
DMSP-F10,57,33208,35727,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,790 km, , ,07:30 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SSM/I, SSM/T",2015-07-28 10:07:01,2015-07-28
DMSP-F11,58,33570,36745,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,853 km, , ,05:00 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SSM/I, SSM/T, SSM/T-2",2015-07-28 10:07:58,2015-07-28
DMSP-F12,59,34575,39734,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,850 km, , ,03:35 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SEM/SSM, SSM/I, SSM/T, SSM/T-2",2015-07-28 10:08:49,2015-07-28
DMSP-F13,60,34782,42038,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,850 km, , ,05:51 desc,Inactive,"OLS, SEM/SSB/X-2, SEM/SSI/ES-2, SEM/SSJ4, SEM/SSM, SSM/I, SSM/T",2015-07-28 10:09:45,2015-07-28
DMSP-F14,61,35524,43872,"Defense Meteorological Satellite Program - Block 5D-2",SunSync,852 km, , ,05:00 desc,Inactive,"OLS, SEM/SSI/ES-2, SEM/SSJ4, SEM/SSM, SSM/I, SSM/T, SSM/T-2",2023-06-05 10:24:16,2023-06-05
DMSP-F15,62,36506,44165,"Defense Meteorological Satellite Program - Block 5D-3",SunSync,850 km, , ,14:50 asc,Inactive,"OLS, SEM/SSI/ES-2, SEM/SSJ4, SESS/SSM-Boom, SSM/I, SSM/T, SSM/T-2",2021-10-18 10:16:10,2021-10-18
DMSP-F16,63,37912,44895,"Defense Meteorological Satellite Program - Block 5D-3",SunSync,848 km, , ,06:20 desc,Operational,"OLS, SESS/SSI/ES-3, SESS/SSJ5 , SESS/SSM-Boom, SESS/SSULI, SESS/SSUSI, SSMIS",2023-06-05 10:27:22,2023-06-05
DMSP-F17,64,39025,45626,"Defense Meteorological Satellite Program - Block 5D-3",SunSync,848 km, , ,06:35 desc,Operational,"OLS, SESS/SSI/ES-3, SESS/SSJ5 , SESS/SSM-Boom, SESS/SSULI, SESS/SSUSI, SSMIS",2023-10-12 7:54:23,2023-10-12
DMSP-F18,65,40104,45626,"Defense Meteorological Satellite Program - Block 5D-3",SunSync,850 km, , ,04:30 desc,Operational,"OLS, SESS/SSI/ES-3, SESS/SSJ5 , SESS/SSM-Boom, SESS/SSULI, SESS/SSUSI, SSMIS",2023-10-12 7:53:56,2023-10-12
DMSP-F19,66,41732,42411,"Defense Meteorological Satellite Program - Block 5D-3",SunSync,850 km, , ,06:36 desc,Inactive,"OLS, SESS/SSI/ES-3, SESS/SSJ5 , SESS/SSM-Boom, SESS/SSULI, SESS/SSUSI, SSMIS",2020-04-16 17:07:25,2020-04-16
DubaiSat-1,68,40023,42499,"DubaiSat",SunSync,686 km, , ,10:30 desc,Inactive,"DMAC",2017-08-03 0:31:52,2017-08-03
EarthCARE,71,45260,46356,"Earth Clouds, Aerosol and Radiation Explorer",SunSync,394 km, , ,14:00 desc,Planned,"ATLID, BBR, CPR (Earth-CARE), MSI",2023-02-02 16:42:37,2023-02-02
Electro-GOMS,72,34638,36845,"Electro",GEO,35786 km,76.5 ° E, ,,Inactive,"DCS (Electro), RMS-platform, RMS-solar, RMS/MAG, STR (Electro)",2015-07-28 10:17:12,2015-07-28
Electro-L N1,73,40563,42338,"Electro",GEO,35786 km,29.6 ° W, ,,Inactive,"DCS (Electro), GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/GALS-E, GGAK-E/SKIF-6, GGAK-E/SKL-E, GGAK-E/VUSS-E, MSU-GS",2017-07-18 12:35:53,2017-07-18
Electro-L N2,74,42349,45626,"Electro",GEO,35786 km,14.5 ° W, ,,Operational,"DCS (Electro), GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/GALS-E, GGAK-E/SKIF-6, GGAK-E/SKL-E, GGAK-E/VUSS-E, MSU-GS",2021-12-07 10:24:41,2021-12-07
Electro-M N1,75,45626,49278,"Electro",GEO,35786 km,14.5 ° W, ,,Planned,"DCS (Electro), ERBR, GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/FM-E, GGAK-E/GALS-E, GGAK-E/ISP-2M, GGAK-E/SKIF-6, GGAK-E/VUSS-E, IRFS-GS, LM, MSU-GSM",2021-10-22 14:05:00,2021-10-22
Electro-M N2,76,45991,49643,"Electro",GEO,35786 km,76 ° E, ,,Planned,"DCS (Electro), ERBR, GEOS&R (Electro), GGAK-E/DIR-E, GGAK-E/FM-E, GGAK-E/GALS-E, GGAK-E/ISP-2M, GGAK-E/SKIF-6, GGAK-E/VUSS-E, IRFS-GS, LM, MSU-GSM",2021-10-22 14:05:30,2021-10-22
EnMAP,77,44652,45991,"Environmental Mapping and Analysis Programme",SunSync,653 km, , ,11:00 desc,Operational,"HSI (EnMAP)",2023-03-06 14:07:27,2023-03-06
Envisat,78,37316,41007,"Environmental Satellite",SunSync,774 km, , ,10:00 desc,Inactive,"AATSR, ASAR, DORIS, GOMOS, LRR (ESA), MERIS, MIPAS, MWR (Envisat), RA-2, SCIAMACHY-limb, SCIAMACHY-nadir",2019-10-29 21:24:03,2019-10-29
Aqua,79,37380,45626,"Earth Observation System",SunSync,705 km, , ,13:30 asc,Operational,"AIRS, AMSR-E, AMSU-A, CERES, HSB, MODIS",2022-09-19 13:38:37,2022-09-19
Aura,80,38183,45626,"Earth Observation System",SunSync,705 km, , ,13:40 asc,Operational,"HIRDLS, MLS (EOS-Aura), OMI , TES-limb, TES-nadir",2022-09-19 13:49:56,2022-09-19
Terra,81,36512,44895,"Earth Observation System",SunSync,705 km, , ,10:30 desc,Operational,"ASTER, CERES, MISR, MODIS, MOPITT",2022-03-21 8:50:44,2022-03-21
Metop-SG-A2,83,48182,50739,"EPS Second Generation",SunSync,835 km, , ,09:30 desc,Planned,"3MI, IASI-NG, METimage, MWS, RO, Sentinel-5",2023-07-31 8:31:25,2023-07-31
Metop-SG-A3,84,50739,53296,"EPS Second Generation",SunSync,835 km, , ,09:30 desc,Planned,"3MI, IASI-NG, METimage, MWS, RO, Sentinel-5",2023-07-31 8:32:20,2023-07-31
Metop-SG-B1,85,45626,48548,"EPS Second Generation",SunSync,835 km, , ,09:30 desc,Planned,"A-DCS, ICI , MWI (MetOp-SG), NGRM, RO, SCA (Scatterometer)",2023-07-31 8:32:50,2023-07-31
Metop-SG-B2,86,48182,51104,"EPS Second Generation",SunSync,835 km, , ,09:30 desc,Planned,"A-DCS, ICI , MWI (MetOp-SG), RO, SCA (Scatterometer)",2023-07-31 8:33:36,2023-07-31
Metop-SG-B3,87,50739,53661,"EPS Second Generation",SunSync,835 km, , ,09:30 desc,Planned,"A-DCS, ICI , MWI (MetOp-SG), RO, SCA (Scatterometer)",2023-07-31 8:33:54,2023-07-31
ERBS,88,30960,38639,"Earth Radiation Budget Satellite",DRIFT,610 km, ,57°,,Inactive,"ERBE, SAGE-II",2015-07-27 20:36:18,2015-07-27
ERS-1,89,33436,36595,"European Remote-sensing Satellite",SunSync,785 km, , ,10:30 desc,Inactive,"AMI-SAR, AMI-SCAT, ATSR, LRR (ESA), PRARE, RA",2022-05-13 13:11:01,2022-05-13
ERS-2,90,34810,40730,"European Remote-sensing Satellite",SunSync,785 km, , ,10:30 desc,Inactive,"AMI-SAR, AMI-SCAT, ATSR-2, GOME, LRR (ESA), MWR (Envisat), PRARE, RA",2019-10-30 2:22:16,2019-10-30
ESSA-1,91,24141,24539,"TIROS Operational System",SunSync,770 km, , ,09:30 desc,Inactive,"FPR, VCS-WA",2015-07-27 20:38:40,2015-07-27
ESSA-2,92,24166,25857,"TIROS Operational System",SunSync,1390 km, , ,09:30 desc,Inactive,"APT",2015-07-27 20:39:09,2015-07-27
ESSA-3,93,24382,25174,"TIROS Operational System",SunSync,1440 km, , ,09:30 desc,Inactive,"AVCS, FPR",2015-07-27 20:39:42,2015-07-27
ESSA-4,94,24498,24963,"TIROS Operational System",SunSync,1380 km, , ,09:30 desc,Inactive,"APT",2015-07-27 20:40:14,2015-07-27
ESSA-5,95,24582,25619,"TIROS Operational System",SunSync,1390 km, , ,09:30 desc,Inactive,"AVCS, FPR",2015-07-27 20:41:00,2015-07-27
ESSA-6,96,24786,25540,"TIROS Operational System",SunSync,1450 km, , ,09:30 desc,Inactive,"APT",2015-07-27 20:41:27,2015-07-27
ESSA-7,97,25066,25637,"TIROS Operational System",SunSync,1450 km, , ,09:30 desc,Inactive,"AVCS, FPR",2015-07-27 20:49:48,2015-07-27
ESSA-8,98,25187,27831,"TIROS Operational System",SunSync,1440 km, , ,09:30 desc,Inactive,"APT",2015-07-27 20:51:31,2015-07-27
ESSA-9,99,25260,26615,"TIROS Operational System",SunSync,1470 km, , ,09:30 desc,Inactive,"AVCS, FPR",2015-07-27 20:52:19,2015-07-27
FORMOSAT-2,100,38128,42601,"FORMOSAT",SunSync,891 km, , ,09:30 desc,Inactive,"ISUAL, RSI",2017-08-01 1:47:34,2017-08-01
FY-1A,101,32393,32432,"Feng-Yun - 1",SunSync,900 km, , ,15:30 asc,Inactive,"MVISR, SEM/HEPD, SEM/IMS",2021-03-19 22:43:46,2021-03-19
FY-1B,102,33119,33455,"Feng-Yun - 1",SunSync,900 km, , ,07:50 desc,Inactive,"MVISR, SEM/HEPD, SEM/IMS",2018-10-11 15:18:05,2018-10-11
FY-1C,103,36290,38103,"Feng-Yun - 1",SunSync,862 km, , ,07:00 desc,Inactive,"MVISR, SEM/HEPD, SEM/IMS",2017-12-11 0:47:59,2017-12-11
FY-1D,104,37391,41000,"Feng-Yun - 1",SunSync,866 km, , ,09:00 desc,Inactive,"MVISR, SEM/HEPD, SEM/IMS",2017-12-11 0:48:29,2017-12-11
FY-2A,105,35591,35893,"Feng-Yun - 2",GEO,35786 km,105 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2A/B), SEM (FY-2)",2019-05-30 21:01:41,2019-05-30
FY-2B,106,36702,38230,"Feng-Yun - 2",GEO,35786 km,105 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2A/B), SEM (FY-2)",2019-05-30 21:02:21,2019-05-30
FY-2C,107,38279,40140,"Feng-Yun - 2",GEO,35786 km,105 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2C/D/E), SEM (FY-2)",2019-05-30 21:03:15,2019-05-30
FY-2D,108,39059,42185,"Feng-Yun - 2",GEO,35786 km,86.5 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2C/D/E), SEM (FY-2)",2019-05-30 21:03:58,2019-05-30
FY-2E,109,39805,43465,"Feng-Yun - 2",GEO,35786 km,86.5 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2C/D/E), SEM (FY-2)",2019-11-27 4:46:04,2019-11-27
FY-2F,110,40921,44652,"Feng-Yun - 2",GEO,35786 km,112 ° E, ,,Inactive,"DCS (FY), S-VISSR (FY-2F/G/H), SEM (FY-2), SXM",2023-05-08 8:39:01,2023-05-08
FY-2G,111,42004,44895,"Feng-Yun - 2",GEO,35786 km,99.5 ° E, ,,Operational,"DCS (FY), S-VISSR (FY-2F/G/H), SEM (FY-2), SXM",2023-07-17 8:46:08,2023-07-17
FY-2H,112,43256,44895,"Feng-Yun - 2",GEO,35786 km,79 ° E, ,,Operational,"DCS (FY), S-VISSR (FY-2F/G/H), SEM (FY-2), SXM",2023-07-10 10:30:15,2023-07-10
FY-3A,113,39595,42009,"Feng-Yun - 3",SunSync,834 km, , ,09:05 desc,Inactive,"ERM-1, IRAS, MERSI-1, MWHS-1, MWRI-1, MWTS-1, SBUS, SEM/HEPD, SEM/IMS, SIM-1, TOU, VIRR (FY-3)",2022-12-07 8:54:57,2022-12-07
FY-3B,114,40486,44539,"Feng-Yun - 3",SunSync,836 km, , ,14:45 asc,Inactive,"ERM-1, IRAS, MERSI-1, MWHS-1, MWRI-1, MWTS-1, SBUS, SEM/HEPD, SEM/IMS, SIM-1, TOU, VIRR (FY-3)",2022-12-07 8:55:37,2022-12-07
FY-3C,115,41540,44895,"Feng-Yun - 3",SunSync,836 km, , ,08:20 desc,Operational,"ERM-1, GNOS, IRAS, MERSI-1, MWHS-2, MWRI-1, MWTS-2, SBUS, SEM/HEPD, SEM/IMS, SIM-1, TOU, VIRR (FY-3)",2023-07-17 8:57:32,2023-07-17
FY-3D,116,43053,45260,"Feng-Yun - 3",SunSync,836 km, , ,13:40 asc,Operational,"GAS, GNOS, HIRAS, MERSI-2, MWHS-2, MWRI-1, MWTS-2, SEM/HEPD, SWS/IPM, SWS/SEM/IMS, SWS/WAI",2023-07-17 9:04:06,2023-07-17
FY-3E,117,44381,47087,"Feng-Yun - 3",SunSync,836 km, , ,05:40 desc,Operational,"GNOS-2, HIRAS-2, MERSI-LL, MWHS-2, MWTS-3, SIM-2, SSIM, SWS/SEM/FGM, SWS/SEM/HEPD, SWS/SEM/IMS, SWS/Tri-IPM, WindRAD, XEUVI",2023-08-21 8:10:28,2023-08-21
FY-3H,118,45260,47087,"Feng-Yun - 3",SunSync,836 km, , ,14:00 asc,Planned,"GAS-2, GNOS-2, HIRAS-2, MERSI-3, MWHS-2, MWRI-2, MWTS-3, SWS/IPM, SWS/WAI",2023-09-21 15:00:10,2023-09-21
FY-3F,119,45141,48182,"Feng-Yun - 3",SunSync,836 km, , ,10:00 desc,Commissioning,"ERM-2, GNOS-2, HIRAS-2, MERSI-3, MWHS-2, MWRI-2, MWTS-3, OMS-limb, OMS-nadir, SIM-2",2023-09-15 10:34:08,2023-09-15
FY-4A,120,42714,44895,"Feng-Yun - 4",GEO,35786 km,104.7 ° E, ,,Operational,"AGRI, DCS (FY), GIIRS, LMI, SEP-fields, SEP/HEPS",2023-07-24 10:22:39,2023-07-24
FY-4B,121,44349,46721,"Feng-Yun - 4",GEO,35786 km,133 ° E, ,,Operational,"AGRI, DCS (FY), FGM (FY4), GHI, GIIRS-2, SEP-fields, SEP/HEPS, SEP/LEPS, SEP/MEPS",2023-07-24 10:27:10,2023-07-24
FY-4C,122,45626,47817,"Feng-Yun - 4",GEO,35786 km,86.5 ° E, ,,Planned,"AGRI, DCS (FY), GIIRS-2, LMI, MUSI, SEP-fields, SEP/HEPS, SEP/LEPS, SEP/MEPS, SUVI (FY-4), SXEUV, SXUS",2023-05-08 8:42:11,2023-05-08
FY-4D,123,45991,48548,"Feng-Yun - 4",GEO,35786 km,105 ° E, ,,Planned,"AGRI, DCS (FY), GIIRS-2, LMI, MUSI, SEP-fields, SEP/HEPS, SEP/LEPS, SEP/MEPS, SUVI (FY-4), SXEUV, SXUS",2023-10-13 12:51:43,2023-10-13
FY-4E,124,46356,48913,"Feng-Yun - 4",GEO,35786 km,86.5 ° E, ,,Planned,"AGRI, DCS (FY), GIIRS-2, LMI, MUSI, SEP-fields, SEP/HEPS, SEP/LEPS, SEP/MEPS, SUVI (FY-4), SXEUV, SXUS",2023-10-13 12:53:34,2023-10-13
GCOM-C,127,43092,44895,"Global Change Observation Mission",SunSync,798 km, , ,10:30 asc,Operational,"SGLI",2022-10-24 9:43:41,2022-10-24
GCOM-W,130,41046,44895,"Global Change Observation Mission",SunSync,700 km, , ,13:30 asc,Operational,"AMSR2",2022-10-24 9:44:02,2022-10-24
GEOSat,133,31118,32904,"Geodetic Satellite",DRIFT,785 km, ,108°,,Inactive,"GRA",2015-07-27 23:30:13,2015-07-27
GFO,134,35836,39743,"Geodetic Satellite",DRIFT,784 km, ,108°,,Inactive,"GFO-RA, LRA (NASA), TRSR, WVR",2015-07-27 23:32:42,2015-07-27
Glory,135,40606,40606,"Glory",SunSync,705 km, , ,13:30 asc,Lost at launch,"APS, CC, TIM",2015-07-27 23:35:16,2015-07-27
GOCE,136,39889,41568,"Gravity Field and Steady-State Ocean Circulation Explorer",SunSync,230 km, , ,06:00 asc,Inactive,"EGG, LRR (ESA), SSTI",2015-07-27 23:39:52,2015-07-27
GOES-1,137,27683,31113,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,135 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VISSR",2015-07-28 10:52:00,2015-07-28
GOES-2,138,28292,34151,"Geostationary Operational Environmental Satellite - 1st generation",GEO,35786 km,75 ° W, ,,Inactive,"DCIS, SEM/EPS, SEM/HEPAD, SEM/MAG, SEM/XRS-EUV, VISSR",2015-07-28 11:03:33,2015-07-28
